
"SG001EW - Approximated social grade - Household Reference Persons aged 16 to 64 years"
"ONS Crown Copyright Reserved [from Nomis on 19 September 2023]"
"Population :","All household reference persons"
"Units      :","Persons"
"Date       :","2021"

"Total","AB Higher and intermediate managerial/administrative/professional occupations","C1 Supervisory, clerical and junior managerial/administrative/professional occupations","C2 Skilled manual occupations","DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations","Area","mnemonic"

1426498,280002,477165,318586,350745,"gor:East Midlands","E12000004"
1829442,425697,632089,386300,385356,"gor:East","E12000006"
2742349,824053,874805,415414,628077,"gor:London","E12000007"
815001,140177,260977,170622,243225,"gor:North East","E12000001"
2238996,439010,740763,447713,611510,"gor:North West","E12000002"
2655681,715953,925536,513505,500687,"gor:South East","E12000008"
1631769,369310,555615,364109,342735,"gor:South West","E12000009"
1709100,326706,548920,364156,469318,"gor:West Midlands","E12000005"
1649726,309493,533742,358074,448417,"gor:Yorkshire and The Humber","E12000003"
28824,3812,8207,6761,10044,"lacu2023:Hartlepool","E06000001"
44065,5550,12855,9181,16479,"lacu2023:Middlesbrough","E06000002"
40503,5505,12086,10321,12591,"lacu2023:Redcar and Cleveland","E06000003"
59483,11376,19093,12719,16295,"lacu2023:Stockton-on-Tees","E06000004"
34290,6153,10999,7286,9852,"lacu2023:Darlington","E06000005"
160522,25703,50540,36384,47895,"lacu2023:County Durham","E06000047"
93727,17955,30311,21742,23719,"lacu2023:Northumberland","E06000057"
92726,20087,31296,13940,27403,"lacu2023:Newcastle upon Tyne","E08000021"
67104,14775,23404,12260,16665,"lacu2023:North Tyneside","E08000022"
47015,6719,14747,10158,15391,"lacu2023:South Tyneside","E08000023"
84437,11358,27148,17827,28104,"lacu2023:Sunderland","E08000024"
62305,11184,20291,12043,18787,"lacu2023:Gateshead","E08000037"
39932,5958,12875,8282,12817,"lacu2023:Halton","E06000006"
64588,15480,22409,11910,14789,"lacu2023:Warrington","E06000007"
44314,6254,13342,9535,15183,"lacu2023:Blackburn with Darwen","E06000008"
45319,4461,14587,9421,16850,"lacu2023:Blackpool","E06000009"
117419,33406,40034,21750,22229,"lacu2023:Cheshire East","E06000049"
105867,26952,35667,20274,22974,"lacu2023:Cheshire West and Chester","E06000050"
83729,14105,24799,22728,22097,"lacu2023:Cumberland","E06000063"
65582,13652,20253,17574,14103,"lacu2023:Westmorland and Furness","E06000064"
85545,13633,27177,17267,27468,"lacu2023:Bolton","E08000001"
57553,12362,20007,10905,14279,"lacu2023:Bury","E08000002"
178496,36291,59440,26599,56166,"lacu2023:Manchester","E08000003"
67843,9317,20606,14850,23070,"lacu2023:Oldham","E08000004"
65939,9374,20303,14227,22035,"lacu2023:Rochdale","E08000005"
90380,17881,32689,14896,24914,"lacu2023:Salford","E08000006"
87816,23927,31011,14648,18230,"lacu2023:Stockport","E08000007"
72373,10120,24642,16424,21187,"lacu2023:Tameside","E08000008"
68930,23388,23566,9522,12454,"lacu2023:Trafford","E08000009"
101216,16140,33358,24176,27542,"lacu2023:Wigan","E08000010"
48314,6175,14988,10386,16765,"lacu2023:Knowsley","E08000011"
155827,26431,51331,25688,52377,"lacu2023:Liverpool","E08000012"
55948,9031,17667,12276,16974,"lacu2023:St. Helens","E08000013"
80433,15020,27605,16152,21656,"lacu2023:Sefton","E08000014"
96029,18694,31793,18667,26875,"lacu2023:Wirral","E08000015"
359602,70955,120613,79557,88477,"lacu2023:Lancashire","E10000017"
87691,9121,25214,21743,31613,"lacu2023:Kingston upon Hull, City of","E06000010"
94645,20717,31796,23335,18797,"lacu2023:East Riding of Yorkshire","E06000011"
48160,5636,13733,12815,15976,"lacu2023:North East Lincolnshire","E06000012"
49208,7654,14790,13291,13473,"lacu2023:North Lincolnshire","E06000013"
60052,16824,21971,10229,11028,"lacu2023:York","E06000014"
175494,41487,57927,41922,34158,"lacu2023:North Yorkshire","E06000065"
76614,10669,23103,19100,23742,"lacu2023:Barnsley","E08000016"
93840,12022,28270,23203,30345,"lacu2023:Doncaster","E08000017"
79693,11560,24864,19335,23934,"lacu2023:Rotherham","E08000018"
168798,36022,56121,30541,46114,"lacu2023:Sheffield","E08000019"
156302,24763,47717,31732,52090,"lacu2023:Bradford","E08000032"
64473,12713,21223,13804,16733,"lacu2023:Calderdale","E08000033"
128244,24281,41719,27072,35172,"lacu2023:Kirklees","E08000034"
257259,59173,90878,44305,62903,"lacu2023:Leeds","E08000035"
109253,16851,34418,25645,32339,"lacu2023:Wakefield","E08000036"
77827,14052,25191,15702,22882,"lacu2023:Derby","E06000015"
100782,13091,29966,19844,37881,"lacu2023:Leicester","E06000016"
10191,3055,3460,2213,1463,"lacu2023:Rutland","E06000017"
98627,15495,33939,16746,32447,"lacu2023:Nottingham","E06000018"
107348,19039,36115,25608,26586,"lacu2023:North Northamptonshire","E06000061"
126567,27401,44621,27414,27131,"lacu2023:West Northamptonshire","E06000062"
239887,48767,78709,57296,55115,"lacu2023:Derbyshire","E10000007"
202599,48893,73216,44445,36045,"lacu2023:Leicestershire","E10000018"
218748,38095,71156,55111,54386,"lacu2023:Lincolnshire","E10000019"
243924,52114,80794,54207,56809,"lacu2023:Nottinghamshire","E10000024"
51852,10450,16291,13637,11474,"lacu2023:Herefordshire, County of","E06000019"
55373,9592,18079,12579,15123,"lacu2023:Telford and Wrekin","E06000020"
80645,8577,24109,18926,29033,"lacu2023:Stoke-on-Trent","E06000021"
87743,19547,28528,22172,17496,"lacu2023:Shropshire","E06000051"
325331,57979,98597,56962,111793,"lacu2023:Birmingham","E08000025"
101030,17320,34343,18870,30497,"lacu2023:Coventry","E08000026"
93808,15456,31198,22118,25036,"lacu2023:Dudley","E08000027"
98117,10985,28602,22960,35570,"lacu2023:Sandwell","E08000028"
59926,17445,20063,10022,12396,"lacu2023:Solihull","E08000029"
79956,10622,23625,19251,26458,"lacu2023:Walsall","E08000030"
77144,10076,23028,17575,26465,"lacu2023:Wolverhampton","E08000031"
250944,51838,84920,58396,55790,"lacu2023:Staffordshire","E10000028"
175103,46665,59232,34022,35184,"lacu2023:Warwickshire","E10000031"
172129,40155,58305,36666,37003,"lacu2023:Worcestershire","E10000034"
64792,10594,20393,13860,19945,"lacu2023:Peterborough","E06000031"
62400,9173,18683,14091,20453,"lacu2023:Luton","E06000032"
55525,10804,20399,10963,13359,"lacu2023:Southend-on-Sea","E06000033"
51010,8130,17711,12880,12289,"lacu2023:Thurrock","E06000034"
55203,13017,18748,11053,12385,"lacu2023:Bedford","E06000055"
87012,22260,32193,18918,13641,"lacu2023:Central Bedfordshire","E06000056"
196927,61571,64747,36250,34359,"lacu2023:Cambridgeshire","E10000003"
426492,93871,157048,90887,84686,"lacu2023:Essex","E10000012"
350667,105245,121613,61751,62058,"lacu2023:Hertfordshire","E10000015"
260958,47804,86760,63144,63250,"lacu2023:Norfolk","E10000020"
218460,43228,73793,52506,48933,"lacu2023:Suffolk","E10000029"
4035,2198,1305,163,369,"lacu2023:City of London","E09000001"
61413,8513,18337,15048,19515,"lacu2023:Barking and Dagenham","E09000002"
113292,35733,35779,16976,24804,"lacu2023:Barnet","E09000003"
68935,15178,25653,14114,13990,"lacu2023:Bexley","E09000004"
94501,19751,27349,17954,29447,"lacu2023:Brent","E09000005"
97654,32549,35206,14467,15432,"lacu2023:Bromley","E09000006"
74879,28304,23926,6409,16240,"lacu2023:Camden","E09000007"
119260,29926,40662,21469,27203,"lacu2023:Croydon","E09000008"
105897,28096,32539,18169,27093,"lacu2023:Ealing","E09000009"
92245,19012,27259,17685,28289,"lacu2023:Enfield","E09000010"
93922,26902,28947,15565,22508,"lacu2023:Greenwich","E09000011"
91239,28913,28395,11000,22931,"lacu2023:Hackney","E09000012"
67378,24403,22573,6616,13786,"lacu2023:Hammersmith and Fulham","E09000013"
86056,24513,24537,13443,23563,"lacu2023:Haringey","E09000014"
65971,19443,20326,12173,14029,"lacu2023:Harrow","E09000015"
71784,15117,26498,15786,14383,"lacu2023:Havering","E09000016"
83567,19732,27912,16226,19697,"lacu2023:Hillingdon","E09000017"
81874,19636,25701,15299,21238,"lacu2023:Hounslow","E09000018"
81875,30294,24331,7913,19337,"lacu2023:Islington","E09000019"
52373,20992,16811,3969,10601,"lacu2023:Kensington and Chelsea","E09000020"
50139,18529,17324,6491,7795,"lacu2023:Kingston upon Thames","E09000021"
115706,39666,36450,14065,25525,"lacu2023:Lambeth","E09000022"
